state_id,state_name,mapping_type,name,publisher,category,language,url
lakshadweep,Lakshadweep,explicit,Google News Lakshadweep,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Lakshadweep+local+news&hl=en-IN&gl=IN&ceid=IN:en
madhya-pradesh,Madhya Pradesh,explicit,Google News Madhya Pradesh,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Madhya+Pradesh+local+news&hl=en-IN&gl=IN&ceid=IN:en
maharashtra,Maharashtra,inferred,Nagpur Today,Nagpur Today,Local,en,https://www.nagpurtoday.in/feed/
maharashtra,Maharashtra,explicit,Pudhari Marathi,Pudhari,Politics,mr,https://www.pudhari.news/feed/
maharashtra,Maharashtra,explicit,Pune Mirror,Pune Mirror,Local,en,https://punemirror.com/feed/
maharashtra,Maharashtra,explicit,Saamana Marathi,Saamana,Politics,mr,https://www.saamana.com/feed/
maharashtra,Maharashtra,explicit,Sakal Marathi,Sakal,World,mr,https://www.esakal.com/feed/
maharashtra,Maharashtra,explicit,TV9 Marathi,TV9 Marathi,World,mr,https://www.tv9marathi.com/feed/
manipur,Manipur,explicit,Google News Manipur,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Manipur+local+news&hl=en-IN&gl=IN&ceid=IN:en
meghalaya,Meghalaya,explicit,The Shillong Times,The Shillong Times,Local,en,https://theshillongtimes.com/feed/
mizoram,Mizoram,explicit,Google News Mizoram,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Mizoram+local+news&hl=en-IN&gl=IN&ceid=IN:en
nagaland,Nagaland,explicit,Google News Nagaland,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Nagaland+local+news&hl=en-IN&gl=IN&ceid=IN:en
odisha,Odisha,explicit,Dharitri Odia,Dharitri,Politics,or,https://dharitri.com/feed/
odisha,Odisha,explicit,Kalinga TV Odia,Kalinga TV,Politics,or,https://www.kalingatv.com/feed/
odisha,Odisha,inferred,New Indian Express Odisha,New Indian Express,Local,en,https://www.newindianexpress.com/states/odisha/rssfeed
odisha,Odisha,explicit,OTV Odia,OTV,World,or,https://www.odishatv.in/feed/
odisha,Odisha,explicit,Odisha TV Odia,OTV,World,or,https://odishatv.in/feed
odisha,Odisha,explicit,Pragativadi Odia,Pragativadi,World,or,https://pragativadi.com/feed/
puducherry,Puducherry,explicit,Google News Puducherry,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Puducherry+local+news&hl=en-IN&gl=IN&ceid=IN:en
punjab,Punjab,explicit,Google News Punjab,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Punjab+India+local+news&hl=en-IN&gl=IN&ceid=IN:en
rajasthan,Rajasthan,explicit,Jaipur TOI,Times of India,Local,en,https://timesofindia.indiatimes.com/rssfeeds/-2128807284.cms
sikkim,Sikkim,explicit,Google News Sikkim,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Sikkim+local+news&hl=en-IN&gl=IN&ceid=IN:en
tamil-nadu,Tamil Nadu,explicit,BBC Tamil,BBC,World,ta,https://feeds.bbci.co.uk/tamil/rss.xml
tamil-nadu,Tamil Nadu,explicit,Chennai TOI,Times of India,Local,en,https://timesofindia.indiatimes.com/rssfeeds/2673929.cms
tamil-nadu,Tamil Nadu,explicit,Puthiya Thalaimurai Tamil,Puthiya Thalaimurai,Politics,ta,https://www.puthiyathalaimurai.com/feed/
tamil-nadu,Tamil Nadu,explicit,Tamil The Hindu,The Hindu,Politics,ta,https://www.hindutamil.in/feed
tamil-nadu,Tamil Nadu,explicit,Thanthi TV Tamil,Thanthi TV,World,ta,https://www.thanthitv.com/feed/
tamil-nadu,Tamil Nadu,explicit,Vikatan Tamil,Vikatan,World,ta,https://www.vikatan.com/feed/
telangana,Telangana,explicit,10TV Telugu,10TV,World,te,https://www.10tv.in/feed/
telangana,Telangana,explicit,Hyderabad TOI,Times of India,Local,en,https://timesofindia.indiatimes.com/rssfeeds/-2128833038.cms
telangana,Telangana,explicit,NTV Telugu,NTV,World,te,https://www.ntvtelugu.com/feed/
telangana,Telangana,explicit,New Indian Express Telangana,New Indian Express,Local,en,https://www.newindianexpress.com/states/telangana/rssfeed
telangana,Telangana,explicit,TV9 Telugu,TV9 Network,Politics,te,https://www.tv9telugu.com/feed
telangana,Telangana,explicit,Telangana Today,Telangana Today,Local,en,https://telanganatoday.com/feed
tripura,Tripura,explicit,Google News Tripura,Google News (Regional),Local,en,https://news.google.com/rss/search?q=Tripura+local+news&hl=en-IN&gl=IN&ceid=IN:en
uttar-pradesh,Uttar Pradesh,explicit,Amar Ujala UP Hindi,Amar Ujala,Local,hi,https://www.amarujala.com/rss/uttar-pradesh.xml
uttar-pradesh,Uttar Pradesh,explicit,Lucknow TOI,Times of India,Local,en,https://timesofindia.indiatimes.com/rssfeeds/-2128816011.cms
uttarakhand,Uttarakhand,explicit,Amar Ujala Uttarakhand Hindi,Amar Ujala,Local,hi,https://www.amarujala.com/rss/uttarakhand.xml
west-bengal,West Bengal,explicit,BBC Bengali,BBC,World,bn,https://feeds.bbci.co.uk/bengali/rss.xml
west-bengal,West Bengal,explicit,Kolkata TOI,Times of India,Local,en,https://timesofindia.indiatimes.com/rssfeeds/52673931.cms
